collateralAmount,collateralReserve,pool,principalAmount,principalReserve,timestamp,user,type,priceUSDTCollateral,reservePriceETHPrincipal,reservePriceUSDPrincipal,reservePriceETHCollateral,reservePriceUSDCollateral,amountUSDPincipal,amountUSDCollateral
22835123018,USDC,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,15202516304973390000000,CRV,1610848983,0x027fca5dce8baa10e93ca93d0f2150e7ca4d4107,liquidation,807340000000000,779000000000000.0,0.9648970693883618,803894878244591.0,0.9957327498260844,1.4668863429997612e+22,22737679835.330055
512721521848936113,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,912141074,USDT,1624398976,0x2e5d1c5c7fd38a7a797de8bf79a87d8d6b4821fe,liquidation,535340667363370,535340667363370.0,1.0,,,912141074.0,
183778375285994071728,UNI,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,4376356069488955692834,TUSD,1621507481,0x506cc4485a7fd42fea6f2acc97d7de697b88419d,liquidation,375800000000000,373000000000000.0,0.9925492283129324,9770566817325456.0,25.999379503260926,4.343748839593881e+21,4.778123723553268e+21
39915660886717770000,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,67010250538,USDT,1613996686,0x6c07b538fc627ae1465136f14f0f2e6143eeebf5,liquidation,567300000000000,567300000000000.0,1.0,,,67010250538.0,
366311034224934476,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,607781632,USDT,1624697647,0x0060f3570331bf192682afc1aabee27af2ce8e3d,liquidation,574001636895132,574001636895132.0,1.0,,,607781632.0,
263162188475018428343,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,694267744294996513239751,DAI,1621423101,0xd5d680b075a25f0115ee402335e73ba82259421a,liquidation,353300000000000,361000000000000.0,1.0217945089159355,,,7.093989688380802e+23,
546324720113931649525,LINK,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,15288868760,USDC,1619145153,0x40e34e3846c3b9be9097048ad17ae7f3af5f5180,liquidation,456800000000000,457800000000000.0,1.0021891418563922,1.409266e+16,30.850831873905427,15322338262.539402,1.6854572088793345e+22
702795351754564107,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1260580092,USDC,1624352466,0x81264ef9f9ffbbe7d7fda1d752f7e084abbe678d,liquidation,528622767992663,530968964749380.0,1.0044383195328992,,,1266174949.2451074,
2958404844634888,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,7875690911144091124,DAI,1621536786,0x8f1093bb83b22ff3fa34a89ab47e398caa8918d5,liquidation,357100000000000,357750000000000.0,1.0018202184262113,,,7.8900263888597e+18,
280610594415901202696,LINK,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,6002585385,USDC,1621628409,0xf8fb4a59846217eea1a15f5b776bf0b76b28ee67,liquidation,438510699136635,442280830149068.0,1.008597580446397,1.040698872367602e+16,23.732576523596563,6054193095.733904,6.659612405307294e+21
