borrowRateModeFrom,borrowRateModeTo,pool,reserve,stableBorrowRate,timestamp,user,variableBorrowRate,type
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,DAI,8.826861566483085,1615100929,0xb8fc6fd16ab5f3b6652c6580c8b6208ddbd8b8a5,3.6537231329661712,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,8.936406889782592,1609862010,0xeb43b5597e3bde0b0c03ee6731ba7c0247e1581e,3.872813779565182,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,8.98541786705064,1614007896,0x1f8dec5061b0d9bf17e5828f249142b39dab84b4,3.9708357341012808,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,WETH,5.575415874880331,1616563043,0xc22060a0e86cc0ee5c24407303aec752e2791c3a,2.060332699904265,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,10.835567443259954,1616351312,0xc58b20c01c1f24e72ee2c36a773ef48e774ea595,3.671134886519909,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,8.884752215930094,1610504562,0x321ded1fabaa2cce3887175d63623de999dc10ea,3.769504431860188,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,11.884696841540991,1610226929,0x12de54791044b6fbce2680338e207e5aa18c5aa3,6.884696841540991,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,16.295590087170023,1620156064,0x074d7eb0afd2fb2d6e569661d023729252b75179,9.295590087170021,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,DAI,8.880598643031554,1609872449,0x0e056b54155e50b1b354251db366f6bf0699ab85,3.7611972860631075,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,DAI,16.04777992734445,1614475827,0x32388335cb1381d7e192a875ec1267fcdc8474a1,11.04777992734445,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDT,13.193671431671156,1610956071,0xb8a4863b53f4c0674eaa382a1e00b3808faacf2a,8.193671431671156,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,WBTC,4.16634473979471,1611814865,0x10b4c1fbcc63e90b8747c6f4f7b072b516c7d439,0.9330757918357685,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,8.885216472040607,1614907722,0x6cc45f1abb48e56aed35e2ea6749d7313fb9f1e9,3.770432944081216,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,DAI,13.728667949623697,1618632012,0x16f037a3ddf53da1b047a926e1833219f0a8e1fc,5.728667949623697,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,8.746526998333495,1614518651,0x4b8bd5e2cf59f4dc2eba7c40bb3072b962712b9c,3.49305399666699,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,ENJ,2.764347630656483,1608556093,0x00b73697688bbb4ceec57c1271fe4a772029a511,1.9350433414595383,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDT,11.384497599960376,1622967667,0xae545ab4ab74ae1a93907551bedf229f477c29eb,2.7689951999207536,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDT,24.025981122996676,1613511300,0x58b297c5a37303b6492b1c153c19de75ae44baad,19.025981122996676,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,DAI,11.956667064645528,1618805406,0xc17905420d885c1967c9bbae432a518480f58cca,3.9133341292910586,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,DAI,11.973809840229395,1622888684,0x3d3804161f1e2aa2c837d31d73552d1e8246f167,3.9476196804587915,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDT,17.051349455458794,1619606331,0xf3a0803a37064a52c7222de63a2d7eede4b17864,9.051349455458793,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDT,8.961078250749138,1611799715,0x42a3de2b03bd2592a2b958277070e64387242fbc,3.9221565014982716,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDT,11.403537119482158,1623054373,0x479db4dac1f196bceb97d52e99c3f4959d93b18b,2.807074238964314,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,DAI,8.967649661294226,1611835612,0x80d7a0a61bf3c8982b74daf4a51966576b2ed5c6,3.935299322588453,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,8.989186455865926,1613204480,0xe275325f697201ce25a257c0815e3fe04e72af58,3.978372911731852,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDT,11.393737923739934,1622134472,0x0bf6305d4382c37a7c330604048ae9813ddade28,2.78747584747987,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,DAI,15.979438966415103,1619551751,0x4dda7e6831592cf7ec58aa4f2cf76350e73bbfc8,7.9794389664151035,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,DAI,10.944858111761572,1610729915,0x9993c65221dfb6cd386545500c4c26d2a875b914,5.944858111761573,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,MKR,3.198895143652884,1617521122,0x36cc7b13029b5dee4034745fb4f24034f3f2ffc6,0.13922660055701888,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,10.46105841818106,1610225874,0xc16add8ba17ab81b27e930da8a67848120565d8c,5.461058418181062,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDT,12.334518646938218,1619766583,0x1c92c53ce67f34e55aa85d78acdfedfb3466ba62,4.334518646938218,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,DAI,38.86162582972006,1614034454,0xac4aff25edf7688749c1282f9175e8a0beb3a2a5,33.861625829720055,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,42.90471822936802,1619476692,0x34a0c4d43ced6dc7149b716f00ba8c70672a1a0d,35.90471822936802,swap
