borrowingEnabled,decimals,id,pool,reserveLiquidationBonus,reserveLiquidationThreshold,stableBorrowRateEnabled,symbol,usageAsCollateralEnabled
False,18,0xd3d2e2692501a5c9ca623199d38826e513033a170xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,0xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,11500.0,7000.0,False,AmmUniUNIWETH,True
True,9,0xd46ba6d942050d489dbd938a2c909a5d5039a1610xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0.0,0.0,False,AMPL,False
True,18,0xd5147bc8e386d91cc5dbe72099dac6c9b99276f50xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0.0,0.0,False,RENFIL,False
True,18,0xd533a949740bb3306d119cc777fa900ba034cd520xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,11000.0,5500.0,False,CRV,True
True,6,0xdac17f958d2ee523a2206206994597c13d831ec70xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,0xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,0.0,0.0,False,AmmUSDT,False
True,6,0xdac17f958d2ee523a2206206994597c13d831ec70xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0.0,0.0,True,USDT,False
True,18,0xdd974d5c2e2928dea5f71b9825b8b646686bd2000xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,11000.0,7000.0,True,KNC,True
False,18,0xdfc14d2af169b0d36c4eff567ada9b2e0cae044f0xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,0xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,11500.0,7000.0,False,AmmUniAAVEWETH,True
True,18,0xe41d2489571d322189246dafa5ebde1f4699f4980xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,10750.0,7000.0,True,ZRX,True
True,18,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,11000.0,6000.0,True,ENJ,True
