date,LINK_deposited,WBTC_borrowed,WETH_deposited,WBTC_deposited,USDC_borrowed,UNI_deposited,YFI_deposited,ZRX_deposited,DAI_borrowed,USDT_borrowed,user
2021-01-15,132.63927904973977,3.877263679673392e-07,12.751583665197751,0.3304351112194998,17460.739542298066,142.14980870269088,0.03122625749096685,1741.5814752703805,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-01-16,132.6393417887123,3.8772954751100893e-07,12.751929231189449,0.33043536747038105,17465.023138649194,142.1498133177353,0.031226593948069765,1741.5826035595471,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-01-17,132.63940294011155,3.877331437725095e-07,12.75224734259742,0.3304356348327928,17469.307785884954,142.1498180463164,0.031226931606325888,1741.5835625960904,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-01-18,132.63947419125287,3.8773748878715984e-07,12.75257175510917,0.3304359356119301,17473.593484263158,142.14982300691617,0.03122719367977091,1741.5844303615506,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-01-19,132.63954707979076,3.8776726282483005e-07,12.752676044167163,0.33044068683359956,17477.880234041677,142.14983048948838,0.031227441182304753,1741.5863326789038,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-01-20,132.6396178805356,3.877972526551334e-07,12.752754641995386,0.3304454101561136,17482.168035478455,142.14983923938172,0.031227860665168847,1741.5888076992364,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-01-21,132.63968629106967,3.878084625077435e-07,12.752839421723358,0.33044657442213515,17486.45688883149,142.1498721160907,0.03122864003564299,1741.5910546687878,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-01-22,132.639743826852,3.878216476373318e-07,12.752929378129592,0.3304476224123418,17490.746794358845,142.14990503764727,0.031229739281768185,1741.5936395473113,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-01-23,132.63979557187793,3.878391602916132e-07,12.753022989054308,0.33044935573186335,17495.03775231865,142.14996179728104,0.03123033916390326,1741.5963565065367,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-01-24,171.61175661991783,3.878593152611184e-07,13.52644655146167,0.37189963113790925,17499.329762969097,142.15002921220199,0.03123068413323049,1741.6001728997046,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-01-25,171.61186385954662,3.8786735696214825e-07,13.52677311148248,0.37190025326977766,17503.622826568437,142.15009991513526,0.03123080303688502,1741.604781283655,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-01-26,390.8438528728573,3.878732492134414e-07,13.527086818492608,0.37190056766144697,22508.12890617802,142.1501878251883,0.03123087477406531,1741.6092911879098,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-01-27,390.84424234150583,3.8787885067446434e-07,13.527377180609642,0.3719008853516461,22513.63633308273,142.15033784410565,0.031230922548580682,1741.6121389054015,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-01-28,390.8444451449848,3.8788958254537824e-07,13.527617469749698,0.3719017299690843,22519.14510761225,142.15052737106438,0.031230964368181135,1741.6161690268784,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-01-29,390.8445788127962,3.878988508893639e-07,13.527842908679757,0.37190237752933547,22524.655230096338,142.15064993763343,0.03123100485823695,1741.620068357105,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-01-30,390.84470442011644,3.8790888101050146e-07,13.528056507626108,0.3719031098393857,22530.16670086484,142.15076710932266,0.031231044997715184,1741.6230328963322,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-01-31,390.84483250148895,3.8792233224748046e-07,13.528270985122832,0.3719042851732787,22535.679520247675,142.15094517348865,0.03123112884299374,1741.6249705335322,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
